network_name,train_r2,train_mae,test_r2,test_mae,n_train,n_test,rank,is_top
TwoLayer-256-64-1,0.996871873231984,11.55899553799683,0.836145641410029,76.08042447378789,5676,132,1,True
Simple-256-1,0.9973980625717691,10.438667013402045,0.8241136110368704,77.66251821060608,5676,132,2,True
Bottleneck-512-64-1,0.9966762133905355,11.651636226020084,0.8230192137522621,79.09524580749999,5676,132,3,True
HighDrop-256-128-1,0.9940706881987014,15.863384871215645,0.8198337822305122,81.28066435712121,5676,132,4,False
Simple-128-1,0.9972578099313875,10.943470322572233,0.8193756651332014,79.08625509151514,5676,132,5,False
TwoLayer-256-128-1,0.996743374972096,11.414543083861874,0.8183701614305542,80.11427288318183,5676,132,6,False
TwoLayer-512-128-1,0.9972836785575431,10.5565570646494,0.8179874547777786,79.39438808727273,5676,132,7,False
HighDrop-512-256-1,0.9954464140898762,13.951139789702253,0.8161888205954119,79.3599325026515,5676,132,8,False
TwoLayer-128-64-1,0.9962783361583898,12.585782279430937,0.8047355516308006,84.35103368840909,5676,132,9,False
Wide-1024-1,0.9957706916416392,13.251054112818887,0.7968086479083348,84.08428491371212,5676,132,10,False
Simple-512-1,0.9977394568145915,9.753771884031009,0.7932086429058571,82.66148677159092,5676,132,11,False
ThreeLayer-256-128-64-1,0.9966419295482041,11.39540106228506,0.7926137750384958,80.8928722746212,5676,132,12,False
ThreeLayer-512-256-128-1,0.9978078738768891,9.157679421249117,0.7724489133594283,85.3405180960606,5676,132,13,False
FourLayer-512-256-128-64-1,0.9971530455101342,10.027363788312192,0.7532987436131637,84.87910352227273,5676,132,14,False
Pyramid-384-192-96-1,0.9975809747014454,9.720397901346018,0.7524036322097796,83.89004623462121,5676,132,15,False
Tiny-32-1-Tanh,0.9993498245843677,4.578342854994714,0.7178177111063997,102.71457326984849,5676,132,16,False
Minimal-16-1,0.998692016420361,3.169217708151867,0.7166078698720064,91.60382056181818,5676,132,17,False
Tiny-64-1,0.998341674283564,3.439168893542987,0.7155319547240575,92.57793226962123,5676,132,18,False
Small-32-16-1-Leaky,0.9998677245739522,1.4045296850475688,0.695688513809642,98.72490076272727,5676,132,19,False
Small-64-32-1,0.999247465220479,3.0032705672885833,0.6900568277063752,99.31476422621212,5676,132,20,False
